-,repair_cost-,repair_time-parallel,repair_time-sequential
6391,2944708.231854389,859.722283695892,2178.736809708178
6392,1930972.770671951,641.0482573609148,1392.8828992601711
6393,21600000.0,12500.0,12500.0
6394,536197.6516959266,150.3709361357368,438.65441627095475
6395,1794356.040663749,494.232231108119,1251.6360319758178
6396,1962902.617860331,549.2353866318065,1389.7751870598545
6397,1959910.1889116152,469.29530619627263,1392.419732253974
6398,21600000.0,12500.0,12500.0
6399,1950592.4369289689,636.2108946576036,1423.6546411370894
6400,21600000.0,12500.0,12500.0
6401,444362.8291880524,166.80011219636984,355.7494509985507
6402,821182.418952774,275.53829057094083,630.0445502324214
6403,1891911.9759299168,571.6788710350975,1362.5553036868673
6404,2722653.284294456,756.059852140452,2000.5938974505696
6405,1579154.1367894507,467.27066027881773,1159.0921867515922
6406,2587973.978372878,647.6837028002687,1874.4213455564582
6407,1599948.9456031553,447.028806330208,1131.5627228505728
6408,2242255.1533275475,582.0136021921993,1618.2846910428639
6409,1054776.1904531561,326.09882435102287,789.9599967466334
6410,1720714.9145649301,470.18949414317245,1213.3719177648197
6411,3090763.475483583,796.4533290551457,2291.0426665826817
6412,540064.2873459447,209.38468728432903,435.8814125089556
6413,1573075.8841519007,453.10199016701836,1114.8639897635771
6414,1434568.3369436197,386.14135946313877,1013.9646170104241
6415,21600000.0,12500.0,12500.0
6416,21600000.0,12500.0,12500.0
6417,21600000.0,12500.0,12500.0
6418,21600000.0,12500.0,12500.0
6419,2739813.8715471197,720.6488307544704,2007.4410857976318
6420,2934142.2379710767,844.5280593211538,2170.7359682483698
6421,21600000.0,12500.0,12500.0
6422,2116071.2313794764,548.1496162100478,1501.670232614044
6423,2713386.5336390184,717.4639409322681,1977.2063668111018
6424,21600000.0,12500.0,12500.0
6425,2383753.754262925,639.4730417119762,1710.0661761617703
6426,21600000.0,12500.0,12500.0
6427,2264856.0822659815,653.4465251013183,1633.556087484165
6428,21600000.0,12500.0,12500.0
6429,1558935.7044638305,488.60589631575954,1090.6091815767077
6430,736394.7323017432,224.44225463389756,582.069095197899
6431,1630069.3243785193,419.95206488967233,1155.4853254196707
6432,1519782.3535891292,441.482636154214,1074.6471365449013
6433,1448940.2955337751,382.2091274778754,1009.8273624221049
6434,1966436.729641016,572.9475337543361,1400.1669254420965
6435,775067.2625031944,281.7719523870752,601.6430636868768
6436,787557.7360635159,210.28724474996818,527.9888448079463
6437,1941341.8583193424,641.4888963137408,1374.8713434895385
6438,2066757.2414621108,583.7656628392265,1499.8214147155993
6439,1258013.7848746818,429.8377016847123,930.792966358886
6440,1341545.6920146265,446.38137678307965,965.4542474407261
6441,21600000.0,12500.0,12500.0
6442,21600000.0,12500.0,12500.0
6443,1353056.0548898221,374.89028700316726,951.6386242758559
6444,1157748.2734356024,339.34773082629044,788.9967886070214
6445,376766.11675058963,150.34364032406825,300.7670338933871
6446,748111.079557995,277.2350708862752,552.2765985622807
6447,324291.137467255,132.10838052335956,273.8625192999389
6448,2047519.6039386953,543.1798272034472,1442.5165204921298
6449,488235.90812960104,212.52522016712027,386.7240356165291
6450,1081829.3950385742,368.14043036663793,762.4781424945157
6451,1510106.31064801,482.67078246833483,1058.9990419389635
6452,393250.8835854749,156.6555082878267,313.5514972436103
6453,1185335.9399674179,318.86537974197097,833.934518412635
6454,21600000.0,12500.0,12500.0
6455,21600000.0,12500.0,12500.0
6456,185765.86132759086,79.75437252995037,163.0550081530275
6457,21600000.0,12500.0,12500.0
6458,467791.2303838416,149.22394025611072,377.6568500664045
6459,1070734.8870331447,302.5677704799952,757.7605987463397
6460,21600000.0,12500.0,12500.0
6461,1264242.2602175667,449.9077743790281,893.2276009330285
6462,1547016.198720091,451.82401060270945,1094.4385293792309
6463,1610499.0439866595,438.74811924763446,1125.6065742148717
6464,21600000.0,12500.0,12500.0
6465,2515784.8306956743,758.5893349191564,1811.7356088693712
6466,21600000.0,12500.0,12500.0
6467,1107208.597785005,374.33357574364965,809.5147631744159
6468,760784.2693245884,260.75564871425274,546.1892693340982
6469,2288553.4321081387,620.6055744450981,1635.3163714586003
6470,21600000.0,12500.0,12500.0
6471,3211277.507961347,816.2552265951097,2399.3550036547
6472,2780048.386342621,694.0311534659858,1852.092996570972
6473,1128745.1526762901,353.46123978653986,779.549049725209
6474,2754695.526145909,695.8357655847298,2016.4366108842619
6475,1421905.9531372034,401.7488676111346,1009.6155622930088
6476,1566065.234457657,438.38813587100424,1112.4278990069026
6477,1197898.6396478182,340.9230521519355,841.040588575158
6478,2253063.6971038785,649.8918025555648,1619.6079212100867
6479,711363.6894725629,204.37978241760592,521.1033157971276
6480,1437906.1943971247,478.93692803530433,1011.78832203836
6481,316618.7911909788,125.95935469983998,266.63209159918375
6482,1019146.638193893,284.267951398279,762.9882415626427
6483,3653035.433988408,914.6181215847388,2776.307971090581
6484,21600000.0,12500.0,12500.0
6485,1765217.140259142,464.63832841322414,1260.9308415179776
6486,507882.3508535476,259.75308027332204,392.5654535701583
6487,3495011.492187747,858.7022053429386,2629.050783800071
6488,2330194.507087773,664.0691609756428,1671.9474846412425
6489,21600000.0,12500.0,12500.0
6490,2573219.626894218,679.0805985257347,1876.7804700006113
6491,1399159.8371552632,444.1659311832468,982.3306087732286
6492,1778045.1519482136,529.8420912633728,1275.5771345059013
6493,1603215.2129421092,404.5705580037687,1148.9556594786009
6494,2546612.510611031,727.8604950812031,1849.9393075764724
6495,2564391.433196748,729.7638156414529,1871.0535946024816
6496,21600000.0,12500.0,12500.0
6497,1032864.6905809796,347.4381679812827,773.2796435763303
6498,1236290.2589914347,339.59717832232826,855.6354182341355
6499,2548792.218223904,745.5425088118656,1842.3939901913184
